2025-10-12 09:04:42,785 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 09:04:42,786 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://httpbin.org/
2025-10-12 09:04:42,787 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: comprehensive, Max depth: 3
2025-10-12 09:04:42,787 | ERROR    | DistributedBridge | [DISTRIBUTED] Unexpected error submitting scan: Object of type HttpUrl is not JSON serializable
2025-10-12 09:06:30,176 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 09:06:30,179 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://httpbin.org/
2025-10-12 09:06:30,180 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: comprehensive, Max depth: 3
2025-10-12 09:06:30,936 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_090630_0
2025-10-12 09:06:30,938 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 09:06:30,939 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_090630_0
2025-10-12 09:11:04,126 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-12 09:11:04,127 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-12 09:11:04,128 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-12 09:36:46,161 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 09:36:46,163 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://testphp.vulnweb.com/
2025-10-12 09:36:46,164 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: comprehensive, Max depth: 3
2025-10-12 09:36:46,832 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_093646_0
2025-10-12 09:36:46,834 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 09:36:46,836 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_093646_0
2025-10-12 09:40:20,611 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-12 09:40:20,612 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-12 09:40:20,613 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-12 10:03:28,900 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 10:03:28,904 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 10:03:28,905 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 10:03:30,739 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_100329_0
2025-10-12 10:03:30,740 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 10:03:30,753 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_100329_0
2025-10-12 10:21:05,964 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 10:21:05,970 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 10:21:05,972 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 10:21:08,089 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_102106_0
2025-10-12 10:21:08,090 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 10:21:08,092 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_102106_0
2025-10-12 10:29:28,194 | ERROR    | DistributedBridge | [DISTRIBUTED] Failed to get scan status: 
2025-10-12 10:29:28,200 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system unavailable: 
2025-10-12 10:29:28,202 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system unavailable: 
2025-10-12 10:55:45,324 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 10:55:45,330 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 10:55:45,331 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 10:55:46,266 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_105546_0
2025-10-12 10:55:46,267 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 10:55:46,271 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_105546_0
2025-10-12 11:04:49,735 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 11:04:49,739 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 11:04:49,740 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 11:04:51,368 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_110450_0
2025-10-12 11:04:51,376 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 11:04:51,385 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_110450_0
2025-10-12 12:28:24,003 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 12:28:24,010 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 12:28:24,012 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 12:28:26,115 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_122824_0
2025-10-12 12:28:26,123 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 12:28:26,137 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_122824_0
2025-10-12 12:32:45,087 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-12 12:32:45,088 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-12 12:32:45,088 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-12 12:52:34,315 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 12:52:34,318 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 12:52:34,318 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 12:52:34,319 | ERROR    | DistributedBridge | [DISTRIBUTED] Unexpected error submitting scan: Object of type HttpUrl is not JSON serializable
